assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
36,8,30,,2,78,13,Dobson,1,20,8480865,4,49,0.6282000000000001,D,5,19,20222023,0,0,0.0631,R,206,Noah Dobson,NYI,1222.9358
11,3,9,,0,46,3,Dobson,0,8,8480865,1,14,0.30434,D,0,5,20202021,0,0,0.04347,R,69,Noah Dobson,NYI,983.6304
6,1,6,,0,34,1,Dobson,0,8,8480865,-1,7,0.20588,D,0,1,20192020,0,0,0.027020000000000002,R,37,Noah Dobson,NYI,796.6176
47,21,57,0.5,3,79,36,Hyman,0,39,8475786,13,83,1.05063,L,15,26,20222023,0,0,0.13043000000000002,R,276,Zach Hyman,EDM,1209.0379
27,21,40,0.48235000000000006,4,76,27,Hyman,1,36,8475786,-9,54,0.71052,L,5,10,20212022,1,4,0.12676,R,213,Zach Hyman,EDM,1167.8947
20,20,40,0.47679000000000005,4,71,21,Hyman,0,65,8475786,16,41,0.5774600000000001,L,0,0,20182019,1,1,0.14583000000000002,R,144,Zach Hyman,TOR,1036.5352
16,17,30,0.43750000000000006,1,51,21,Hyman,0,23,8475786,13,37,0.7254900000000001,L,3,6,20192020,1,1,0.19811,R,106,Zach Hyman,TOR,1145.7647
18,12,28,0.32727,4,43,15,Hyman,0,28,8475786,19,33,0.76744,L,3,5,20202021,0,0,0.13043000000000002,R,115,Zach Hyman,TOR,1161.8837
46,26,58,0.46255,6,82,38,Scheifele,3,38,8476460,8,84,1.02439,C,12,23,20182019,0,3,0.19095,R,199,Mark Scheifele,WPG,1311.7317
44,19,53,0.46935000000000004,6,71,29,Scheifele,2,45,8476460,2,73,1.02816,C,10,20,20192020,0,0,0.17058,R,170,Mark Scheifele,WPG,1308.2676
41,22,51,0.50707,3,67,29,Scheifele,2,23,8476460,-17,70,1.04477,C,7,19,20212022,0,0,0.18238000000000001,R,159,Mark Scheifele,WPG,1268.0298
26,30,46,0.4797,10,81,42,Scheifele,2,43,8476460,-16,68,0.8395,C,12,22,20222023,0,0,0.20388,R,206,Mark Scheifele,WPG,1228.7283
42,17,46,0.49787000000000003,4,56,21,Scheifele,0,12,8476460,-4,63,1.125,C,4,17,20202021,0,0,0.16666,R,126,Mark Scheifele,WPG,1257.75
63,33,68,0.0,7,82,46,Robertson,1,20,8480027,37,109,1.32926,L,13,41,20222023,0,0,0.14696,L,313,Jason Robertson,DAL,1130.3292
38,28,58,,11,74,41,Robertson,2,22,8480027,16,79,1.06756,L,13,21,20212022,0,0,0.18636000000000003,L,220,Jason Robertson,DAL,1086.6486
28,16,39,0.71428,3,51,17,Robertson,1,16,8480027,13,45,0.8823500000000001,L,1,6,20202021,0,0,0.13385000000000002,L,127,Jason Robertson,DAL,1013.196
1,0,0,,0,3,0,Robertson,0,0,8480027,0,1,0.33333,L,0,1,20192020,0,0,0.0,L,4,Jason Robertson,DAL,739.3333
42,13,47,0.5606500000000001,3,82,22,Trocheck,0,58,8476389,3,64,0.7804800000000001,C,9,17,20222023,0,0,0.09777000000000001,R,225,Vincent Trocheck,NYR,1158.9512
30,15,39,0.54618,3,81,21,Trocheck,0,78,8476389,21,51,0.6296200000000001,C,6,12,20212022,0,0,0.125,R,168,Vincent Trocheck,CAR,1072.432
26,10,25,0.5604600000000001,2,47,17,Trocheck,0,20,8476389,-3,43,0.9148900000000001,C,7,18,20202021,0,0,0.13821,R,123,Vincent Trocheck,CAR,1093.5531
27,9,30,0.52163,2,62,11,Trocheck,1,49,8476389,-8,38,0.6129,C,1,7,20192020,1,1,0.07801000000000001,R,141,Vincent Trocheck,"FLA,CAR",1003.5322
24,6,20,0.5182100000000001,1,55,10,Trocheck,0,54,8476389,-9,34,0.6181800000000001,C,3,13,20182019,1,1,0.06329,R,158,Vincent Trocheck,FLA,1179.5636
67,21,47,0.45161,3,82,37,Nugent-Hopkins,0,35,8476454,12,104,1.26829,C,15,53,20222023,1,4,0.18407,L,201,Ryan Nugent-Hopkins,EDM,1188.0731
41,19,40,0.45119000000000004,3,82,28,Nugent-Hopkins,0,26,8476454,-13,69,0.8414600000000001,C,8,26,20182019,1,3,0.13461,L,208,Ryan Nugent-Hopkins,EDM,1206.1341
39,15,37,0.5074200000000001,4,65,22,Nugent-Hopkins,0,33,8476454,1,61,0.9384600000000001,C,7,24,20192020,0,0,0.1279,L,172,Ryan Nugent-Hopkins,EDM,1228.0
39,7,22,0.40732,1,63,11,Nugent-Hopkins,0,16,8476454,3,50,0.7936500000000001,C,1,23,20212022,3,5,0.07142000000000001,L,154,Ryan Nugent-Hopkins,EDM,1159.0952
19,7,15,0.45625000000000004,2,52,16,Nugent-Hopkins,0,22,8476454,-4,35,0.6730700000000001,C,9,20,20202021,0,0,0.11851,L,135,Ryan Nugent-Hopkins,EDM,1246.3461
31,35,60,0.48780000000000007,2,81,42,Verhaeghe,1,46,8477409,10,73,0.9012300000000001,C,7,13,20222023,0,0,0.15272000000000002,L,275,Carter Verhaeghe,FLA,1050.1234
31,24,52,0.65517,4,78,24,Verhaeghe,1,48,8477409,24,55,0.7051200000000001,C,0,3,20212022,0,0,0.14371,L,167,Carter Verhaeghe,FLA,963.1794
18,16,33,0.46938,3,43,18,Verhaeghe,0,31,8477409,24,36,0.8372,C,1,2,20202021,1,1,0.16822,L,107,Carter Verhaeghe,FLA,1064.0
4,8,12,0.45161,1,52,9,Verhaeghe,0,8,8477409,-9,13,0.25,C,1,1,20192020,0,0,0.15789,L,57,Carter Verhaeghe,TBL,561.6923
